Gross Domestic Product,Petroleum Proffit Tax,VAT,CIT,CED
94325.02,6326,403,2326,11.5
101011.23,4847,550,2336,11.5
110064.03,3747,562,1984,11.6
116272.18,4762,787,1616,11.7
134585.59,6711,1004,2184,11.8
134603.32,4811,1101,1728,11.8
193126.2,12504,1235,3541,12.2
263294.46,6815,1551,5672,12.5
382261.49,10598,1914,5816,12.9
472648.75,26909,2997,8641,13.1
545672.41,38616,3828,11457,13.2
875342.52,51477,517,16055,13.7
1089679.72,59208,9554,15485,13.9
1399703.22,42803,12275,18095,7261
2907358.18,42858,21878,37364,20761
4032300.34,76667,22000,55000,31000
4189249.77,68574,26000,63000,34000
3989450.28,68000,33300,57700,36000
4679212.05,164300,46200,87900,47100
6713574.84,525100,51100,101500,57500
6895198.33,639200,68700,170600,91800
7795758.35,392200,89100,181400,108600
9913518.19,683500,114800,195500,136400
11411066.91,1183600,113000,217200,159500
14610881.45,1904900,140300,232800,178100
18564594.73,2038300,244900,177700,221600
20657317.67,1600600,275300,241400,289600
24296329.29,2060900,420600,205250,401700
24794238.66,939400,600600,223325,481400
54612264.2,1480360,666060,214287,564890
62980397.21,3070591,659595.9,,659153.7
71713935.05,3201319,816519.1,,710555.1
80092563.38,2666367,963550.6,,802683.5
89043615.26,2453947,1180407,,802964.6
81022130,1097945,1229017,,635352
